Unnamed: 0,fpros_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_ecr_delta,rank_min,rank_max,rank_ave,rank_std,pos_rank,ovr_tier,ovr_rank_ecr,rank_max_duplicate,rank_ave_duplicate,rank_std_duplicate,pos_tier,pos_rank_ecr,sleeper_id,rank_min_duplicate,player_ecr_delta_duplicate,pos_rank_duplicate
31,17233,Lamar Jackson,e06a9c07-453a-4bb0-a7e9-2c3a64166dad,BAL,QB,QB,L. Jackson,QB,QB,https://www.fantasypros.com/nfl/players/lamar-jackson.php,lamar-jackson.php,https://images.fantasypros.com/images/players/nfl/17233/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17233/headshot/210x210.png,31002.0,2181169.0,14.0,99.3,99.6,99,,18,51,32.75,7.24,QB4,4.0,32.0,6.0,3.5,1.09,1.0,4.0,4881,1.0,,
32,16433,Cooper Kupp,2806e915-c46f-492f-8a29-71d3a85e5620,LAR,WR,WR,C. Kupp,WR,WR,https://www.fantasypros.com/nfl/players/cooper-kupp.php,cooper-kupp.php,https://images.fantasypros.com/images/players/nfl/16433/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16433/headshot/210x210.png,30182.0,2006951.0,6.0,98.0,96.9,99,,15,65,34.58,9.36,WR19,5.0,33.0,37.0,22.64,4.44,4.0,22.0,4039,13.0,,WR22
33,18219,DK Metcalf,754faf0f-40f7-45f0-b23b-6ce990ecaf26,SEA,WR,WR,DK Metcalf,WR,WR,https://www.fantasypros.com/nfl/players/dk-metcalf.php,dk-metcalf.php,https://images.fantasypros.com/images/players/nfl/18219/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18219/headshot/210x210.png,31896.0,2260185.0,10.0,98.5,99.0,98,,21,50,35.47,6.61,WR20,5.0,34.0,23.0,16.0,3.22,3.0,17.0,5846,10.0,-2.0,WR17
34,24333,Isiah Pacheco,3a25c037-fa30-4740-b742-ec8e4f1a2a25,KC,RB,RB,I. Pacheco,RB,RB,https://www.fantasypros.com/nfl/players/isiah-pacheco.php,isiah-pacheco.php,https://images.fantasypros.com/images/players/nfl/24333/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/24333/headshot/210x210.png,34207.0,2966551.0,6.0,97.8,99.6,96,,16,52,35.53,8.64,RB9,5.0,35.0,13.0,10.23,1.54,3.0,10.0,8205,6.0,,RB10
35,18244,Deebo Samuel Sr.,628a6a0a-4fde-4024-8d7c-28674953d5af,SF,WR,WR,D. Samuel Sr.,WR,WR,https://www.fantasypros.com/nfl/players/deebo-samuel.php,deebo-samuel.php,https://images.fantasypros.com/images/players/nfl/18244/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18244/headshot/210x210.png,31868.0,2139735.0,9.0,98.7,98.3,99,,23,61,35.75,8.05,WR21,5.0,36.0,22.0,11.05,3.02,3.0,9.0,5872,8.0,,WR9
36,19222,DeVonta Smith,3555d07e-57ae-43de-97d5-b1b5bf055f17,PHI,WR,WR,D. Smith,WR,WR,https://www.fantasypros.com/nfl/players/devonta-smith.php,devonta-smith.php,https://images.fantasypros.com/images/players/nfl/19222/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19222/headshot/210x210.png,33398.0,2866975.0,5.0,98.0,96.9,99,,23,53,36.35,5.84,WR22,5.0,37.0,29.0,22.5,2.9,4.0,21.0,7525,16.0,,WR21
37,23136,De'Von Achane,a4ef921b-8767-4b4f-a651-7675c00f9af0,MIA,RB,RB,D. Achane,RB,RB,https://www.fantasypros.com/nfl/players/devon-achane.php,devon-achane.php,https://images.fantasypros.com/images/players/nfl/23136/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23136/headshot/210x210.png,40118.0,3171161.0,6.0,95.8,97.6,94,,11,66,37.23,13.02,RB10,5.0,38.0,22.0,12.14,3.06,3.0,11.0,9226,5.0,,RB11
38,15514,Derrick Henry,87c481c7-7414-43cc-82df-19ca0c2ae22e,BAL,RB,RB,D. Henry,RB,RB,https://www.fantasypros.com/nfl/players/derrick-henry.php,derrick-henry.php,https://images.fantasypros.com/images/players/nfl/15514/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15514/headshot/210x210.png,29279.0,2061188.0,14.0,99.4,99.7,99,,13,56,38.35,11.65,RB11,5.0,39.0,10.0,6.56,1.43,2.0,6.0,3198,3.0,,RB6
39,23891,Rachaad White,4d3f2f57-215c-4cb4-bf75-a7ecdcdded70,TB,RB,RB,R. White,RB,RB,https://www.fantasypros.com/nfl/players/rachaad-white.php,rachaad-white.php,https://images.fantasypros.com/images/players/nfl/23891/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23891/headshot/210x210.png,34047.0,3169147.0,11.0,97.5,97.9,97,,17,66,40.12,10.04,RB12,5.0,40.0,21.0,14.97,2.22,3.0,16.0,8136,10.0,,RB16
40,13894,Amari Cooper,00f88be8-45f9-4237-b2b8-3271ec790d07,CLE,WR,WR,A. Cooper,WR,WR,https://www.fantasypros.com/nfl/players/amari-cooper.php,amari-cooper.php,https://images.fantasypros.com/images/players/nfl/13894/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13894/headshot/210x210.png,28392.0,1984220.0,10.0,91.6,90.1,93,,23,61,41.53,6.92,WR23,5.0,41.0,28.0,21.07,3.11,4.0,20.0,2309,12.0,,WR20
